target,sp_Mn__vs__mln_Mn,sp_Mn__vs__si_Mp,sp_Mn__vs__mln_Mp,sp_Mn__vs__si_Mn,sp_Mn__vs__sp_Mp,sp_Mn__vs__sp_Ame,sp_Mn__vs__pre_inj,mln_Mn__vs__si_Mp,mln_Mn__vs__mln_Mp,mln_Mn__vs__si_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__sp_Ame,mln_Mn__vs__pre_inj,si_Mp__vs__mln_Mp,si_Mp__vs__si_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__sp_Ame,si_Mp__vs__pre_inj,mln_Mp__vs__si_Mn,mln_Mp__vs__sp_Mp,mln_Mp__vs__sp_Ame,mln_Mp__vs__pre_inj,si_Mn__vs__sp_Mp,si_Mn__vs__sp_Ame,si_Mn__vs__pre_inj,sp_Mp__vs__sp_Ame,sp_Mp__vs__pre_inj,sp_Ame__vs__pre_inj
Esr1,0.6482311977470402,0.4369047532881909,1.6526563744356464,-0.029962041586039673,1.1491693250703112,0.4225353719892968,-0.7155844288752016,0.31827683268269086,1.430743485602403,-0.3364160513118231,0.35028981024597255,0.1568884520553735,-0.837291463757508,0.44557019773982154,-0.43349459328867773,-0.21093890974090979,-0.2562879116626519,-0.6719741244346328,-0.9136652621427614,-1.5502720163181598,-0.8906683438553309,-2.205584179192799,0.42490924178907374,0.2762974889795658,-0.18929567488306756,-0.14559848099331424,-1.7251390283233659,-0.6701877146394212
Esr2,-0.284920349580097,-0.3757547468411976,-0.43788019240028736,0.17282424578483402,-0.7081885331172358,-0.2337786323957636,-0.15866210721066915,-0.40183586576969244,-0.459639169676393,0.4584379549190029,-0.7434936622310467,0.08049018173702661,-0.05720864217836098,0.07401673998174152,1.2568595086966852,-0.29493478369908144,0.37390001882065693,0.3324958558379996,0.7366103700010478,-0.7558334220297733,0.40215199024250686,0.3922231168417851,-0.9606099932530973,-0.29623078232556027,-0.3758270790746077,0.8592091923544464,0.6562520096170428,-0.08614206499995379
Esrra,1.1618516845404612,0.860421914736241,0.41362881195466217,0.38297039262458127,0.8362616496601512,0.9589949668960688,-0.2976666080384528,-0.16936468748603076,-1.0483074819969374,-0.35465227927639914,-0.5682256951273824,-0.15179355552402943,-1.170603524929171,-0.43302601842197547,-0.17946314560116794,-0.19327657171821558,0.07288276979652412,-1.002319505294516,0.12783386519530118,0.8884182759477967,0.5043591538058484,-0.7830281905766776,0.04175953355030758,0.42539840977340754,-0.5172658759244617,0.3448615411239316,-1.259491760035644,-1.2129005065996874
Esrrb,-0.23670062535235947,-0.4657334731098574,-0.774946889075027,-0.2821628082105,-0.6752697231250797,-0.8396999760507452,-0.6474929760521952,-0.22925155812771558,-0.9601818607200304,-0.10054663005441836,-0.4974436482068842,-0.8555858682541534,-0.8455944427273009,-0.45860981362120046,0.3470924842954537,-0.18884831325506127,-0.3554760398320283,-0.3270206354029094,0.5172006095511898,0.5822448458944305,0.16498710744603984,0.07350482747282126,-0.2823368936562153,-0.4791966611177081,-0.42116888691336724,-0.4747152857838577,-0.30472309582039764,-0.06403141389498025
Esrrg,-0.38445222575704785,-0.1185103588956865,-0.7142348691882958,-0.055228642040010774,-0.7223104537368982,-0.8267899200456108,-0.4773254223079494,0.09476495383429043,-0.4380336395436012,0.1816025458589595,-0.31854935616805263,-0.4789948386234393,-0.3036617170104354,-0.6355115395376488,0.036088877791968094,-0.6383423737174319,-0.6132726808208137,-0.3671494326730406,0.43727820436068526,0.14647234106299384,-0.05232063159278732,0.04833662604627809,-0.33901863680475836,-0.40582472611871273,-0.45174614762713466,-0.3579394409305857,-0.03340362386186982,0.06751970370655334
Hnf4a,-0.24362688246021275,-0.5162566411722782,-0.20331341631601804,-0.09862907701071005,-0.5861860576140072,-0.7032130967591702,-0.4002903953532078,-0.6148206638282024,-0.036030347722421883,0.013056724467242955,-0.7423595595723669,-2.1140653325923005,-0.41547798979137657,0.8051445868545435,0.8327853202258698,0.25813891732676997,0.16202133635591687,0.42943054912380196,0.03343266555736858,-0.48668061550479325,-0.5755228387254722,-0.45161316490015235,-0.31201990607495905,-0.33991618674203455,-0.26976505487562724,-0.12948491397369521,0.12638416772188105,0.21589189640301473
Hnf4g,0.27422645623038316,0.2500525119520226,-0.46214859034862726,-0.3669438813509493,-0.3243212635054772,0.09572971369651893,-0.09986808483344074,0.20337287353474665,-0.6225656704368715,-0.6434448631160955,-0.4197299403800505,-0.06626845974424124,-0.218835214791708,-0.5190660141795104,-0.5600926305872375,-0.47423040216426043,-0.19034923281513355,-0.3036875476008276,-0.15877340420977565,0.05409423270771835,0.3412485770115497,0.17561143957506065,0.20031666457614788,0.4188364366217613,0.22146537860036192,0.6006166715199182,0.15030838764155194,-0.2328428315481432
Ncoa1,0.575373414704583,-0.25167772780836234,0.18244184788287096,0.650942601712975,-0.23740651686437164,0.037623910208872985,-0.2896491311217203,-0.5620880430251876,-0.6004803660358408,0.4989060357717388,-0.8435483066021005,-0.7999849877404521,-0.770426323765014,0.4135208212779917,0.9821402989069725,0.08447617446717398,0.243812809993926,-0.02235141140221566,0.6576896485034025,-0.5014563948573554,-0.250779363129409,-0.4862171941430966,-0.7632741838442619,-0.6809085559695642,-0.7569143642281159,0.4188654796353517,-0.13886073459757423,-0.38210722154330623
Ncoa2,0.46890823756360345,0.44425722303538495,0.467134413829353,0.4862114933966682,0.5664326549790114,0.8055862016963202,0.3766002573722907,0.2706467722342544,0.143118759512151,0.299996539986529,0.22810267653070906,0.38274425097272813,0.056803775516338355,-0.2124281909596507,-0.039262288589262145,-0.2071268073567165,-0.08424507125697035,-0.2098165736794008,0.1409469012152904,0.00950860224055957,0.1636239991981711,-0.07303825814819091,-0.14233635205302098,-0.04394510890860562,-0.16736418679653356,0.21317314486253558,-0.10158741335803591,-0.2388485258053501
Ncoa3,0.10288285827793572,0.7327648581440243,0.550470385828525,0.6999141102683021,0.36987393753715775,0.06827215093334857,0.3589560802452065,0.7631332785841848,0.5750115700947072,0.7385427935807292,0.27426977709810063,-0.0035882482662886253,0.3772427724094067,-0.726617648531702,-0.2981701709430913,-0.7541805221450663,-0.7058648423954201,-0.37514526466141784,0.19125248040423123,-0.3976108145246634,-0.4633609458297702,-0.13865625534435735,-0.4959838517355666,-0.5592680917765317,-0.21999673848436377,-0.41500225237714694,0.23976398129198065,0.42683049391422034
