target,sp_Mn__vs__mln_Mn,sp_Mn__vs__si_Mp,sp_Mn__vs__mln_Mp,sp_Mn__vs__si_Mn,sp_Mn__vs__sp_Mp,sp_Mn__vs__sp_Ame,sp_Mn__vs__pre_inj,mln_Mn__vs__si_Mp,mln_Mn__vs__mln_Mp,mln_Mn__vs__si_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__sp_Ame,mln_Mn__vs__pre_inj,si_Mp__vs__mln_Mp,si_Mp__vs__si_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__sp_Ame,si_Mp__vs__pre_inj,mln_Mp__vs__si_Mn,mln_Mp__vs__sp_Mp,mln_Mp__vs__sp_Ame,mln_Mp__vs__pre_inj,si_Mn__vs__sp_Mp,si_Mn__vs__sp_Ame,si_Mn__vs__pre_inj,sp_Mp__vs__sp_Ame,sp_Mp__vs__pre_inj,sp_Ame__vs__pre_inj
Esr1,0.9348286157298897,5.171838180672847,1.453638839138574,2.3343270070458626,0.6117683564597353,2.6662996599874202,0.2851861013712157,4.979117210109733,1.668490840859716,2.696484301029318,1.1839877369739293,1.777497021126508,1.2199224105712156,3.7675979883047326,7.501264114543878,4.623314029789625,4.4031893275844025,5.270128748082162,3.778661562129578,0.8646700513573602,2.5903719668312664,1.5100865310328397,2.915931755076256,4.271116060754333,2.281128810554269,2.6629474341887174,0.6471345081642639,2.9449169700553983
Esr2,2.1905024306274457,5.444405739892268,5.0359998955390655,5.623587920804607,4.786081966780967,1.412838953447796,7.3402068798139295,3.2545171157266166,3.069873026483593,3.526440361679393,2.7465782670652583,1.0535845008628022,5.414500112248116,1.7695914275886158,1.3829602111930748,1.4780709686045943,4.171370344387638,3.156308242466701,3.093668788629583,0.4262537787098791,3.6264879602958975,2.3449067084208126,2.7405856105393624,4.565855591219407,4.449631674651981,3.389750582914867,2.688836947558308,5.92752335217513
Esrra,5.235089363087736,2.2069759875795447,2.9193487459192244,4.9975828051857984,2.5794963363998846,3.835762065759509,0.9601785896732042,7.173516498432525,2.3813725869116227,7.592801888177451,2.817450578903236,5.9712416401605175,4.35437611314152,4.792152301989146,6.343448439119498,4.365064818283766,5.582349059769421,3.1509936261157265,6.365502516251168,0.4630714450571957,4.774835307754788,2.1358203158690743,6.376236577772142,1.6319284092898165,4.830338007313224,4.8215832316176845,1.8889724523332665,3.448390441087662
Esrrb,7.656826865790652,3.282241724322132,6.157337084263179,3.9053040069512277,5.171305538785395,4.941531473807521,7.261890569937494,5.039437811867334,3.268279923592115,4.284096810121723,4.148975188693282,3.5292928540538093,2.6820717081251555,4.605748342913002,0.7702010750391339,4.267655439281556,3.4668104452336177,5.362602671827311,4.148178783119108,1.2987999650844095,1.41631927991892,2.09268585311375,3.9698187170781645,3.086358667190826,4.787874950949748,1.1080805314771554,2.858988460947073,2.457316739077583
Esrrg,2.3140301363414695,2.685215784453569,2.356042978578384,4.339574943972564,2.2961242837894145,2.173287479340112,4.267706930115802,4.611935086561258,3.2793768129912966,2.9148529286293257,3.7705302153950404,3.48595956050347,4.056674147551642,2.2316988347281175,5.709634686976111,1.7293532145800161,1.8870843060798754,4.251711256694615,3.541512767447458,0.8971107074232129,0.5813656081864156,2.2165715363792575,4.254717022909122,3.9581268226188193,2.5936201634762828,0.3433863060312601,2.9634207827393517,2.7250060880958475
Hnf4a,3.909116436194782,6.871327218800531,4.1968953290456685,7.431338163709021,5.0862808379354,3.976359315124818,5.609678359535892,4.099061107903709,2.6535084807242635,5.31774007789862,1.6130816442590006,0.322821905885246,2.4625440805046135,2.8826388627590265,2.1630638476324084,4.169805089049082,4.099687944651143,2.13410683658224,4.008852154540962,3.737325034223103,2.667525339785953,2.0781091256533055,5.134167907854667,5.370310375128547,3.9512878987258984,1.6307068861403042,3.05296926086951,2.4956851957696355
Hnf4g,1.3121722877662023,5.017775567651379,0.7528907023577648,2.4597193915143074,1.394025299334989,2.594927330220119,2.542812239309945,4.467371259355205,1.590641102538892,2.3730781219047836,2.5909351180927027,3.6473990911264993,3.7864995409402518,5.3704028382999764,5.527060737788401,5.992692814607341,7.145477814617312,7.122711337559396,3.1010226336015916,1.7518149413540405,2.8757310248736525,2.3031672173323896,2.530476880109645,2.8685637988271404,4.289825857974726,1.2852320538444828,1.82338346668917,2.1350176940813372
Ncoa1,3.809033397689153,1.84157657819756,3.3600959157094055,6.386837396736216,1.8079513028683913,2.1076447661943116,2.353901971374629,4.843572387458423,1.1307254891139382,6.249130982889809,2.457541532630789,1.7211560853182628,3.222496148594905,4.048749799496036,5.6080809164937735,3.066599671983871,3.267594633182407,4.175058158552184,5.234806769619006,2.2906430732096195,1.4280616757135534,3.4603295707768504,6.670352787657709,5.88018230031689,7.577486234314563,1.2658950844938668,2.182332070168132,2.197303503260825
Ncoa2,2.2725798278312523,4.261134797624633,2.4990072264006256,2.9420489601196733,2.1747145798753538,1.6558487242076418,2.4676015075573763,4.308053569817562,2.849033109594758,3.0550058691886943,1.116663746094765,2.0825431535933348,2.1260033713205613,3.9543007629496647,2.6364491846248113,4.07123352216986,2.986712010969195,5.151854296965431,3.7017918492854944,2.181753948782169,2.156884307430772,3.355262109192081,3.1361800655193695,2.5778237936109845,4.479686442549519,1.9975667776208395,2.1424970605577576,2.513687978689587
Ncoa3,1.0666968861613868,4.183195963402175,3.9286340398342134,2.5313907898229893,1.3445159851000115,1.516488359391541,4.080505341292205,4.938537972116591,4.600827797484428,3.379907556296483,1.6366375883944129,1.3095535787134078,3.5244148892815312,1.2646691185138716,1.7714699586235874,4.678096180551427,5.457293307917198,7.398788268089569,2.022290070358201,4.702286877827853,5.3602841918851025,7.2860450590479475,2.942383200258472,3.747690635630187,5.797145203603429,1.0669444008081435,3.192994167942285,3.063975941679362
