,sp_Mn,mln_Mn,si_Mp,mln_Mp,si_Mn,sp_Mp,sp_Ame,pre_inj
Esrra3,72.77879817269539,56.34864436361433,62.42454444202157,65.73843628643584,73.679970656531,64.28937839849759,71.3836700801689,77.29440385693016
Esrrb1,58.77314065200072,60.27134071779826,59.579372412248496,63.32356294097274,60.58407595763657,61.985191960399966,66.75625463783415,73.12170917920892
Esrrb2,43.57963889333246,71.64931166346364,50.854673217499844,76.64063404444929,54.584823011003316,70.99000727842477,71.50471743344539,82.3241543070387
Esrrb3,77.75536434393668,77.72256012688102,82.40593658597459,82.05117911145045,82.73302291605772,78.2101018850409,82.42566625396194,82.27276329217167
Esrrb4,83.11440982550172,81.63255377445499,79.93206207282864,84.38839341795224,81.14312200656774,84.29559403120577,85.63500145948998,85.47007640926971
Esrrb5,72.12283543240345,52.28149440976294,60.684095379852785,72.27638513459796,59.70167708444618,73.88755803049702,72.83205625391454,70.50447695836813
Esrrg1,59.32518675838501,65.9578873958727,52.28149440976294,67.77025942902306,70.24537171598547,66.06435385991911,67.71856516777261,76.64063404444929
Esrrg2,69.92158757574924,66.96864508275054,65.88572515269571,72.19420645907128,61.06525778493228,74.56585342633669,74.86686294595518,70.7371854945908
Esrrg3,92.93102294854822,96.90019649664724,85.21385191747535,93.12925169542092,87.71717347731995,92.07235022048845,93.75285673580038,94.21632893097423
Esrrg4,73.41703460712469,71.45123066315584,77.40428918549152,83.35985574368503,69.93909548739855,83.50473776688064,84.24052779829367,87.37984286652201
Hnf4a1,43.57963889333246,58.14972061150513,72.35742452777292,61.829898214077694,69.48434150135887,66.2711986193516,64.4818447312799,72.52739151658693
Hnf4a2,72.15863000711238,72.06268552216277,74.5341069012789,74.35642018619005,73.81617406588819,75.98970428965582,76.67420835566901,81.39915895930322
Hnf4a3,77.79728436748879,68.64886880506099,71.9281300526279,75.337229063081,74.72210671645651,72.63802444342411,74.69118075512077,73.83410064748337
Hnf4a4,75.77995272812342,73.05062030934332,69.21276518824503,75.64257979038746,58.9171562375376,72.89533569136105,79.4157901970937,80.21412772166885
Hnf4a5,72.12283543240345,74.97133213730434,64.5288847895223,66.09938163106216,60.27134071779826,83.65701847403541,80.95152000112118,74.34821650812303
Hnf4g1,77.32456930911246,75.9709338445113,82.03020967861492,78.07851984343934,79.2495125588371,79.53936476289621,76.4177576242117,79.03324532606739
Hnf4g2,87.14581197549062,88.59508228519718,78.7378380023052,88.87025070229917,93.29021067450043,88.43152458090893,87.51265721352665,87.14381315368288
Hnf4g3,71.66227966865405,70.6452315213958,64.93444182656059,75.97719713385388,65.92192692203932,71.64931166346364,67.61370372487976,77.38445660050493
Hnf4g4,69.72535553657568,64.8026710204481,49.906505968925366,72.17051292464922,70.50447695836813,76.15606862132627,77.88942447833995,81.17001433285705
Ncoa1-1,80.90407602891581,81.55489264701701,76.18638140672222,83.69983908170352,76.504450131961,81.96686960111053,85.35619505298646,90.05364659494639
Ncoa1-2,67.50681262550596,48.67349679111055,65.77563784089367,53.35106268389222,43.57963889333246,63.88195193671934,60.58407595763657,70.4247598439104
Ncoa1-3,72.03845079916769,73.8430436868321,64.71297139755418,73.48387128824888,43.57963889333246,79.52536678744252,75.914270410023,82.92768734677853
