name,sp_Mn__vs__mln_Mn,sp_Mn__vs__si_Mp,sp_Mn__vs__mln_Mp,sp_Mn__vs__si_Mn,sp_Mn__vs__sp_Mp,sp_Mn__vs__sp_Ame,sp_Mn__vs__pre_inj,mln_Mn__vs__si_Mp,mln_Mn__vs__mln_Mp,mln_Mn__vs__si_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__sp_Ame,mln_Mn__vs__pre_inj,si_Mp__vs__mln_Mp,si_Mp__vs__si_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__sp_Ame,si_Mp__vs__pre_inj,mln_Mp__vs__si_Mn,mln_Mp__vs__sp_Mp,mln_Mp__vs__sp_Ame,mln_Mp__vs__pre_inj,si_Mn__vs__sp_Mp,si_Mn__vs__sp_Ame,si_Mn__vs__pre_inj,sp_Mp__vs__sp_Ame,sp_Mp__vs__pre_inj,sp_Ame__vs__pre_inj
Blimp-1,1.3571055593964303,4.209238316578919,0.6433009237468355,1.250409004714669,-0.8419755523575674,-1.547378617807297,2.6750461280374935,2.8521327571824884,-0.7138046356495948,-0.10669655468176131,-2.1990811117539977,-2.9044841772037273,1.3179405686410632,-3.565937392832083,-2.9588293118642497,-5.051213868936486,-5.756616934386216,-1.5341921885414251,0.6071080809678335,-1.4852764761044028,-2.1906795415541325,2.031745204290658,-2.0923845570722364,-2.797787622521966,1.4246371233228246,-0.7054030654497296,3.517021680395061,4.2224247458447906
Cd19-1,1.0996125685208824,2.423402904010345,0.2553401806893447,3.649699509776184,1.0029171383408624,0.8072343639143753,-0.9451502155267661,1.3237903354894627,-0.8442723878315377,2.5500869412553016,-0.09669543018002003,-0.2923782046065071,-2.0447627840476486,-2.1680627233210004,1.2262966057658389,-1.4204857656694827,-1.6161685400959698,-3.3685531195371112,3.3943593290868392,0.7475769576515177,0.5518941832250306,-1.2004903962161109,-2.6467823714353216,-2.8424651458618087,-4.59484972530295,-0.19568277442648707,-1.9480673538676285,-1.7523845794411415
Cd19-2,5.400745430611181,5.424957267547228,1.696245739739851,5.664212449085667,-3.468796168330954,-1.5000549925349702,-0.25342886683645816,0.024211836936046893,-3.70449969087133,0.2634670184744863,-8.869541598942135,-6.900800423146151,-5.654174297447639,-3.728711527807377,0.2392551815384394,-8.893753435878182,-6.925012260082198,-5.678386134383686,3.9679667093458164,-5.165041908070805,-3.196300732274821,-1.949674606576309,-9.133008617416621,-7.1642674416206376,-5.9176413159221255,1.9687411757959836,3.2153673014944957,1.246626125698512
Cd19-3,-1.2293767337550747,9.985957623174329,-2.0488267268319618,9.551071946357368,-0.6591844078221953,-1.1589449703080845,4.820632178547072,11.215334356929404,-0.819449993076887,10.780448680112443,0.5701923259328794,0.0704317634469902,6.050008912302147,-12.03478435000629,-0.4348856768169611,-10.645142030996524,-11.144902593482414,-5.165325444627257,11.59989867318933,1.3896423190097664,0.8898817565238772,6.869458905379034,-10.210256354179563,-10.710016916665452,-4.730439767810296,-0.4997605624858892,5.479816586369267,5.979577148855157
Cd8a-1,1.214330245321861,7.069038114987677,1.7084464648405486,2.770575437930617,-2.3078753157529945,-1.1679251906170265,3.753511709101886,5.854707869665816,0.49411621951868767,1.5562451926087562,-3.5222055610748555,-2.3822554359388874,2.539181463780025,-5.3605916501471285,-4.29846267705706,-9.376913430740672,-8.236963305604704,-3.315526405885791,1.0621289730900685,-4.016321780593543,-2.876371655457575,2.0450652442613375,-5.078450753683612,-3.9385006285476436,0.982936271171269,1.139950125135968,6.061387024854881,4.921436899718913
Cd8a-2,0.394880192252387,11.084629407101787,0.6699412459024785,15.104761885601533,1.4552127983279775,1.4038893959766767,-4.56401693855635,10.6897492148494,0.2750610536500915,14.709881693349146,1.0603326060755904,1.0090092037242897,-4.958897130808737,-10.414688161199308,4.020132478499747,-9.62941660877381,-9.68074001112511,-15.648646345658136,14.434820639699055,0.785271552425499,0.7339481500741982,-5.233958184458828,-13.649549087273556,-13.700872489624857,-19.668778824157883,-0.05132340235130073,-6.019229736884327,-5.967906334533026
Creb-2,3.4388313703180984,5.5693180907567665,1.6697849460975505,3.0998723505575754,-1.980663986137543,-1.003896174095587,-6.630900369231085,2.130486720438668,-1.769046424220548,-0.338959019760523,-5.419495356455641,-4.442727544413685,-10.069731739549184,-3.899533144659216,-2.469445740199191,-7.54998207689431,-6.5732142648523535,-12.200218459987852,1.430087404460025,-3.6504489322350935,-2.6736811201931374,-8.300685315328636,-5.080536336695118,-4.103768524653162,-9.73077271978866,0.9767678120419561,-4.650236383093542,-5.627004195135498
Creb-3,0.03800357820503564,4.274076714585533,-1.748687025807257,3.6288019964920153,-0.2503569635215541,-1.10313899198772,-3.9661812839435413,4.236073136380497,-1.7866906040122927,3.5907984182869797,-0.28836054172658976,-1.1411425701927556,-4.004184862148577,-6.02276374039279,-0.6452747180935177,-4.524433678107087,-5.377215706573253,-8.240257998529074,5.377489022299272,1.498330062285703,0.6455480338195372,-2.217494258136284,-3.8791589600135694,-4.731940988479735,-7.594983280435557,-0.8527820284661658,-3.715824320421987,-2.8630422919558214
Dmrta1-1,2.299162053523105,8.325324940627027,1.7689697763075287,6.718286965242029,0.4241692078829402,-2.32823499665254,-5.901357740782444,6.026162887103922,-0.5301922772155763,4.419124911718924,-1.8749928456401648,-4.627397050175645,-8.20051979430555,-6.556355164319498,-1.6070379753849977,-7.901155732744087,-10.653559937279567,-14.226682681409471,4.949317188934501,-1.3448005684245885,-4.097204772960069,-7.670327517089973,-6.294117757359089,-9.04652196189457,-12.619644706024474,-2.7524042045354804,-6.3255269486653845,-3.573122744129904
Dmrta1-2,3.3167865464130983,9.907640699987027,3.2847647092182655,0.13586048598116918,6.582547652207566,0.5939922251053673,-2.3477654581600973,6.590854153573929,-0.03202183719483287,-3.180926060431929,3.2657611057944678,-2.722794321307731,-5.664552004573196,-6.622875990768762,-9.771780214005858,-3.325093047779461,-9.31364847488166,-12.255406158147125,-3.1489042232370963,3.2977829429893006,-2.690772484112898,-5.632530167378363,6.446687166226397,0.45813173912419813,-2.4836259441412665,-5.988555427102199,-8.930313110367663,-2.9417576832654646
