name,si_Mp__vs__si_Mn,si_Mp__vs__mln_Mn,si_Mp__vs__pre_inj,si_Mp__vs__sp_Ame,si_Mp__vs__sp_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__mln_Mp,si_Mn__vs__mln_Mn,si_Mn__vs__pre_inj,si_Mn__vs__sp_Ame,si_Mn__vs__sp_Mn,si_Mn__vs__sp_Mp,si_Mn__vs__mln_Mp,mln_Mn__vs__pre_inj,mln_Mn__vs__sp_Ame,mln_Mn__vs__sp_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__mln_Mp,pre_inj__vs__sp_Ame,pre_inj__vs__sp_Mn,pre_inj__vs__sp_Mp,pre_inj__vs__mln_Mp,sp_Ame__vs__sp_Mn,sp_Ame__vs__sp_Mp,sp_Ame__vs__mln_Mp,sp_Mn__vs__sp_Mp,sp_Mn__vs__mln_Mp,sp_Mp__vs__mln_Mp
Blimp-1,-2.9588293118642497,-2.8521327571824884,-1.5341921885414251,-5.756616934386216,-4.209238316578919,-5.051213868936486,-3.565937392832083,0.10669655468176131,1.4246371233228246,-2.797787622521966,-1.250409004714669,-2.0923845570722364,-0.6071080809678335,1.3179405686410632,-2.9044841772037273,-1.3571055593964303,-2.1990811117539977,-0.7138046356495948,-4.2224247458447906,-2.6750461280374935,-3.517021680395061,-2.031745204290658,1.547378617807297,0.7054030654497296,2.1906795415541325,-0.8419755523575674,0.6433009237468355,1.4852764761044028
Cd19-1,1.2262966057658389,-1.3237903354894627,-3.3685531195371112,-1.6161685400959698,-2.423402904010345,-1.4204857656694827,-2.1680627233210004,-2.5500869412553016,-4.59484972530295,-2.8424651458618087,-3.649699509776184,-2.6467823714353216,-3.3943593290868392,-2.0447627840476486,-0.2923782046065071,-1.0996125685208824,-0.09669543018002003,-0.8442723878315377,1.7523845794411415,0.9451502155267661,1.9480673538676285,1.2004903962161109,-0.8072343639143753,0.19568277442648707,-0.5518941832250306,1.0029171383408624,0.2553401806893447,-0.7475769576515177
Cd19-2,0.2392551815384394,-0.024211836936046893,-5.678386134383686,-6.925012260082198,-5.424957267547228,-8.893753435878182,-3.728711527807377,-0.2634670184744863,-5.9176413159221255,-7.1642674416206376,-5.664212449085667,-9.133008617416621,-3.9679667093458164,-5.654174297447639,-6.900800423146151,-5.400745430611181,-8.869541598942135,-3.70449969087133,-1.246626125698512,0.25342886683645816,-3.2153673014944957,1.949674606576309,1.5000549925349702,-1.9687411757959836,3.196300732274821,-3.468796168330954,1.696245739739851,5.165041908070805
Cd19-3,-0.4348856768169611,-11.215334356929404,-5.165325444627257,-11.144902593482414,-9.985957623174329,-10.645142030996524,-12.03478435000629,-10.780448680112443,-4.730439767810296,-10.710016916665452,-9.551071946357368,-10.210256354179563,-11.59989867318933,6.050008912302147,0.0704317634469902,1.2293767337550747,0.5701923259328794,-0.819449993076887,-5.979577148855157,-4.820632178547072,-5.479816586369267,-6.869458905379034,1.1589449703080845,0.4997605624858892,-0.8898817565238772,-0.6591844078221953,-2.0488267268319618,-1.3896423190097664
Cd8a-1,-4.29846267705706,-5.854707869665816,-3.315526405885791,-8.236963305604704,-7.069038114987677,-9.376913430740672,-5.3605916501471285,-1.5562451926087562,0.982936271171269,-3.9385006285476436,-2.770575437930617,-5.078450753683612,-1.0621289730900685,2.539181463780025,-2.3822554359388874,-1.214330245321861,-3.5222055610748555,0.49411621951868767,-4.921436899718913,-3.753511709101886,-6.061387024854881,-2.0450652442613375,1.1679251906170265,-1.139950125135968,2.876371655457575,-2.3078753157529945,1.7084464648405486,4.016321780593543
Cd8a-2,4.020132478499747,-10.6897492148494,-15.648646345658136,-9.68074001112511,-11.084629407101787,-9.62941660877381,-10.414688161199308,-14.709881693349146,-19.668778824157883,-13.700872489624857,-15.104761885601533,-13.649549087273556,-14.434820639699055,-4.958897130808737,1.0090092037242897,-0.394880192252387,1.0603326060755904,0.2750610536500915,5.967906334533026,4.56401693855635,6.019229736884327,5.233958184458828,-1.4038893959766767,0.05132340235130073,-0.7339481500741982,1.4552127983279775,0.6699412459024785,-0.785271552425499
Creb-2,-2.469445740199191,-2.130486720438668,-12.200218459987852,-6.5732142648523535,-5.5693180907567665,-7.54998207689431,-3.899533144659216,0.338959019760523,-9.73077271978866,-4.103768524653162,-3.0998723505575754,-5.080536336695118,-1.430087404460025,-10.069731739549184,-4.442727544413685,-3.4388313703180984,-5.419495356455641,-1.769046424220548,5.627004195135498,6.630900369231085,4.650236383093542,8.300685315328636,1.003896174095587,-0.9767678120419561,2.6736811201931374,-1.980663986137543,1.6697849460975505,3.6504489322350935
Creb-3,-0.6452747180935177,-4.236073136380497,-8.240257998529074,-5.377215706573253,-4.274076714585533,-4.524433678107087,-6.02276374039279,-3.5907984182869797,-7.594983280435557,-4.731940988479735,-3.6288019964920153,-3.8791589600135694,-5.377489022299272,-4.004184862148577,-1.1411425701927556,-0.03800357820503564,-0.28836054172658976,-1.7866906040122927,2.8630422919558214,3.9661812839435413,3.715824320421987,2.217494258136284,1.10313899198772,0.8527820284661658,-0.6455480338195372,-0.2503569635215541,-1.748687025807257,-1.498330062285703
Dmrta1-1,-1.6070379753849977,-6.026162887103922,-14.226682681409471,-10.653559937279567,-8.325324940627027,-7.901155732744087,-6.556355164319498,-4.419124911718924,-12.619644706024474,-9.04652196189457,-6.718286965242029,-6.294117757359089,-4.949317188934501,-8.20051979430555,-4.627397050175645,-2.299162053523105,-1.8749928456401648,-0.5301922772155763,3.573122744129904,5.901357740782444,6.3255269486653845,7.670327517089973,2.32823499665254,2.7524042045354804,4.097204772960069,0.4241692078829402,1.7689697763075287,1.3448005684245885
Dmrta1-2,-9.771780214005858,-6.590854153573929,-12.255406158147125,-9.31364847488166,-9.907640699987027,-3.325093047779461,-6.622875990768762,3.180926060431929,-2.4836259441412665,0.45813173912419813,-0.13586048598116918,6.446687166226397,3.1489042232370963,-5.664552004573196,-2.722794321307731,-3.3167865464130983,3.2657611057944678,-0.03202183719483287,2.9417576832654646,2.3477654581600973,8.930313110367663,5.632530167378363,-0.5939922251053673,5.988555427102199,2.690772484112898,6.582547652207566,3.2847647092182655,-3.2977829429893006
