target,si_Mp__vs__si_Mn,si_Mp__vs__mln_Mn,si_Mp__vs__pre_inj,si_Mp__vs__sp_Ame,si_Mp__vs__sp_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__mln_Mp,si_Mn__vs__mln_Mn,si_Mn__vs__pre_inj,si_Mn__vs__sp_Ame,si_Mn__vs__sp_Mn,si_Mn__vs__sp_Mp,si_Mn__vs__mln_Mp,mln_Mn__vs__pre_inj,mln_Mn__vs__sp_Ame,mln_Mn__vs__sp_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__mln_Mp,pre_inj__vs__sp_Ame,pre_inj__vs__sp_Mn,pre_inj__vs__sp_Mp,pre_inj__vs__mln_Mp,sp_Ame__vs__sp_Mn,sp_Ame__vs__sp_Mp,sp_Ame__vs__mln_Mp,sp_Mn__vs__sp_Mp,sp_Mn__vs__mln_Mp,sp_Mp__vs__mln_Mp
Esrrg,-2.045384450052678,-5.123149743250199,-12.0471576677777,-9.948362995599076,-3.702367806095408,-8.855483652049838,-8.91705316544369,-3.077765293197521,-10.001773217725022,-7.902978545546398,-1.6569833560427298,-6.81009920199716,-6.871668715391012,-6.924007924527501,-4.8252132523488775,1.420781937154791,-3.7323339087996388,-3.793903422193491,2.0987946721786237,8.344789861682292,3.1916740157278625,3.13010450233401,6.2459951895036685,1.0928793435492388,1.0313098301553865,-5.15311584595443,-5.214685359348282,-0.061569513393852304
Hnf4a,3.0700384440815256,1.1356168148141024,-5.9523367787436685,-4.730646516167502,2.224594006197313,-3.7779940116761876,-0.14083948507026064,-1.9344216292674232,-9.022375222825193,-7.800684960249027,-0.8454444378842126,-6.848032455757713,-3.210877929151786,-7.087953593557771,-5.866263330981605,1.0889771913832107,-4.91361082649029,-1.276456299884363,1.2216902625761663,8.176930784940982,2.1743427670674804,5.8114972936734075,6.955240522364815,0.9526525044913143,4.589807031097242,-6.002588017873501,-2.3654334912675736,3.637154526605927
Hnf4g,-8.339282909334726,-6.101230798786576,-12.280633484176546,-8.456136891137996,-7.562255253356684,-10.041818538047243,-9.871871281958883,2.23805211054815,-3.9413505748418203,-0.11685398180327056,0.777027655978042,-1.7025356287125177,-1.5325883726241578,-6.17940268538997,-2.3549060923514205,-1.4610244545701079,-3.9405877392606676,-3.7706404831723077,3.8244965930385497,4.718378230819862,2.2388149461293025,2.4087622022176625,0.8938816377813126,-1.5856816469092472,-1.4157343908208873,-2.4795632846905598,-2.3096160286022,0.16994725608835992
Ncoa1,8.001503137270898,1.101235024336998,-8.916934672082599,-4.228303045671498,-2.946459884096788,-5.185176123174456,-2.168729935678505,-6.900268112933901,-16.9184378093535,-12.229806182942397,-10.947963021367688,-13.186679260445356,-10.170233072949404,-10.018169696419596,-5.329538070008496,-4.047694908433786,-6.286411147511454,-3.2699649600155025,4.6886316264111,5.97047478798581,3.731758548908142,6.748204736404094,1.2818431615747101,-0.9568730775029579,2.0595731099929937,-2.238716239077668,0.7777299484182834,3.0164461874959514
Ncoa2,-2.7184949796733022,-6.671283108315776,-10.811080248617301,-6.840124392521523,-9.389095787824774,-7.285721149122978,-6.918380045357952,-3.952788128642473,-8.092585268943997,-4.121629412848221,-6.6706008081514705,-4.567226169449675,-4.19988506568465,-4.139797140301525,-0.1688412842057474,-2.7178126795089974,-0.6144380408072022,-0.24709693704217628,3.9709558560957774,1.4219844607925272,3.5253590994943225,3.8927002032593485,-2.54897139530325,-0.44559675660145476,-0.07825565283642888,2.1033746387017955,2.470715742466821,0.3673411037650259
Ncoa3,-4.215937198728724,-11.571218615485716,-13.203809242898767,-13.532181485930868,-12.365457913945928,-11.788167592571666,-8.421131966300887,-7.35528141675699,-8.987872044170045,-9.316244287202142,-8.149520715217204,-7.572230393842942,-4.205194767572162,-1.6325906274130546,-1.9609628704451523,-0.7942392984602122,-0.21694897708595134,3.1500866491848285,-0.3283722430320978,0.8383513289528424,1.4156416503271032,4.782677276597883,1.16672357198494,1.744013893359201,5.111049519629981,0.5772903213742608,3.9443259476450407,3.3670356262707797
Ncoa4,-1.071631105386804,-6.22847759166078,-11.241307017967923,-7.632874488865349,-7.785923172739899,-7.25542866202216,-6.407808580817445,-5.156846486273976,-10.16967591258112,-6.561243383478545,-6.714292067353095,-6.183797556635357,-5.336177475430641,-5.012829426307144,-1.404396897204569,-1.5574455810791192,-1.0269510703613804,-0.17933098915666507,3.6084325291025747,3.4553838452280248,3.9858783559457636,4.833498437150479,-0.1530486838745503,0.37744582684318856,1.2250659080479038,0.5304945107177389,1.3781145919224542,0.8476200812047153
Ncoa5,-1.7401375025448829,-2.9434021615033763,-10.382939763698355,-8.391276163304218,-5.412082644820582,-7.6642612356248065,-5.474277904240982,-1.2032646589584932,-8.642802261153472,-6.651138660759334,-3.6719451422756983,-5.924123733079924,-3.7341404016961,-7.439537602194979,-5.447874001800841,-2.4686804833172054,-4.720859074121431,-2.5308757427376065,1.9916636003941381,4.970857118877774,2.7186785280735486,4.908661859457372,2.9791935184836356,0.7270149276794106,2.9169982590632344,-2.2521785908042253,-0.06219525942040131,2.1899833313838237
Ncoa6,-1.1639514575451102,1.174259989918859,3.1112344472013547,-0.1619573219470496,0.6346372291076534,-0.6057957487239207,0.1469488636104188,2.3382114474639693,4.275185904746465,1.0019941355980606,1.7985886866527636,0.5581557088211895,1.310900321155529,1.9369744572824956,-1.3362173118659086,-0.5396227608112056,-1.7800557386427798,-1.0273111263084402,-3.2731917691484043,-2.4765972180937013,-3.7170301959252754,-2.964285583590936,0.796594551054703,-0.44383842677687113,0.3089061855574684,-1.2404329778315741,-0.4876883654972346,0.7527446123343395
Ncoa7,0.9370244733665274,-1.3991615168083154,-4.289582121103943,-2.3588011697182814,-0.5571669838483473,-0.849887641083555,-1.981817017889739,-2.3361859901748425,-5.2266065944704705,-3.2958256430848087,-1.4941914572148747,-1.7869121144500824,-2.9188414912562664,-2.8904206042956275,-0.9596396529099659,0.841994532959968,0.5492738757247603,-0.5826555010814237,1.9307809513856615,3.7324151372555954,3.4396944800203877,2.3077651032142037,1.8016341858699338,1.5089135286347262,0.3769841518285422,-0.2927206572352077,-1.4246500340413917,-1.131929376806184
