,si_Mp,si_Mn,mln_Mn,pre_inj,sp_Ame,sp_Mn,sp_Mp,mln_Mp
Non-targeting-negative-control-#2-(RFP)-1,81.5220316905128,81.01238143092719,78.12269513243359,87.84603453327739,86.74674395801237,86.74353313131925,81.75090562340199,86.19758821561261
Non-targeting-negative-control-#4-(EGFP_881)-1,81.95034122537136,81.95979144086517,76.95767412387606,78.12269513243359,83.98975822625152,83.96086786284425,84.5621294371663,79.6639355809291
Non-targeting-negative-control-#5-(EGFP_1212)-2,88.4402948873984,87.21336568914646,91.31213794070737,89.3013383938299,92.25299231186482,93.57068971640015,92.04812904560497,91.91449372579235
Nr0b1-1,76.40026951811464,76.0703765968935,81.14312200656774,73.12170917920892,80.89285951930606,79.14978120488371,79.60888148114583,85.76020199742551
Nr0b1-2,76.60122812379943,77.56549629725839,79.08990933783056,80.32282262962734,79.16094261299098,79.55333100256834,78.17965108178244,81.27378832535666
Nr0b1-3,43.57963889333246,43.57963889333246,66.72522769448666,72.85322513438709,66.81778447820848,62.209593376856354,58.6246979355269,50.854673217499844
Nr0b1-4,51.62760541609119,66.0290976512502,59.579372412248496,70.7371854945908,60.377791241554604,66.37173375419593,60.05131119187027,61.75043290905688
Nr0b2-1,71.71386402940301,80.35659205016802,72.87431809387867,80.95707773460094,76.90954809082349,79.63647001943423,78.26625527140277,73.44577139661904
Nr0b2-2,74.42975029374212,76.05185513830696,85.0324760758839,86.15870112115836,89.1611394414417,82.12286547064224,83.78634287635653,91.16394197047384
Nr0b2-3,56.58649120055431,67.99709237221188,76.02085951451183,81.6375307350998,69.68893688820019,77.89399527498584,68.6707961341751,74.25722357546783
Nr1d1-1,60.377791241554604,50.854673217499844,66.8482914284234,59.70167708444618,68.23871391893202,62.209593376856354,60.782146705296256,73.74392148837832
Nr1d1-2,77.82507234425925,73.52172749577171,78.93762965247744,91.1491164003883,83.19410480138959,81.88617027141173,86.68543544823297,84.24052779829367
Nr1d1-3,46.89166021331561,43.57963889333246,43.57963889333246,73.7257200610277,71.7522539201195,56.34864436361433,64.24014370385,56.34864436361433
Nr1d2-4,67.25844704765714,71.09096803539309,70.24537171598547,77.0998118411177,73.70746262063761,73.46485200459824,69.09225117514609,72.82144316688989
Nr1d2-5,71.63631462653922,79.09366844623676,79.1311337515445,78.84441837718822,84.64183709769652,82.46493673429394,85.61430897041129,82.71216830955623
Nr1d2-6,67.34248688823774,71.7903919075228,75.66898824948325,77.17222805209326,79.30059585412458,79.91892915798701,81.90525366613883,68.9064997347054
Nr1h2-1,43.57963889333246,59.93750502488707,43.57963889333246,56.58649120055431,62.829165867373604,43.57963889333246,49.906505968925366,46.89166021331561
Nr1h2-2,77.49762425055464,77.88485026609138,75.81220500767549,78.54367298986098,81.00962798868879,76.45258335745334,82.04186817673325,80.73652827118082
Nr1h2-3,67.20169809072947,69.83323033778991,77.34959378978792,74.24888223420271,76.07653784276461,67.02784376160271,67.89742190913184,71.50471743344539
Nr1h3-4,85.23321111550972,88.77503390231543,87.80072765284689,90.3943934629194,90.93032210223143,88.51390068294818,90.26848578358535,89.81979774112814
Nr1h3-5,68.44755646833444,62.06109586191039,67.47976307743781,72.19420645907128,68.49292325479973,71.94049157999443,69.23260271181493,74.34000153660556
Nr1h3-6,70.59869614694692,82.07671183462747,76.06420907286252,85.55310725671208,80.53760377344929,83.95575531247056,84.24865713807174,74.67565765168719
Nr1h4-1,84.94766503384318,87.48822190574974,80.25161072490205,82.08597027741358,79.40508181099449,81.4429569199048,80.42358130356226,81.53216141971568
Nr1h4-2,95.52124880717474,97.85951770577195,98.76884551981892,98.44340029920431,98.68839926884625,98.64870764804927,98.71254605738329,98.28861165494996
Nr1h4-3,64.14027087136009,62.06109586191039,75.1174879003688,77.1876345373403,76.69092622050368,74.51018586907348,75.86982874267426,70.59869614694692
Nr1i2-4,68.5825666772571,76.16214332666456,79.36206107582059,81.29749025394636,75.64257979038746,75.84428601232888,75.62269731028022,77.59435513109817
Nr1i2-6,89.8451305400865,83.74059561369435,74.38096377765041,84.79074575583459,75.2531178251186,74.47814147903941,79.27875489883493,76.38858271337313
Nr1i2-7,73.05062030934332,79.27875489883493,85.51107679420468,86.68219086047145,83.59221939692935,85.2249219509674,85.15539745021572,83.7352949501321
Nr1i2-8,79.52886926458677,80.01675085303326,80.09071037568555,87.03382469474157,85.1721567884916,80.73940630280401,81.60010522431335,82.3130187987608
Nr1i3-1,69.57825630144343,73.47436928656688,59.82100568351759,76.62377707552038,78.13149210771466,76.74080574187452,82.0929049855186,70.36017705096486
