target,si_Mp__vs__si_Mn,si_Mp__vs__mln_Mn,si_Mp__vs__pre_inj,si_Mp__vs__sp_Ame,si_Mp__vs__sp_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__mln_Mp,si_Mn__vs__mln_Mn,si_Mn__vs__pre_inj,si_Mn__vs__sp_Ame,si_Mn__vs__sp_Mn,si_Mn__vs__sp_Mp,si_Mn__vs__mln_Mp,mln_Mn__vs__pre_inj,mln_Mn__vs__sp_Ame,mln_Mn__vs__sp_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__mln_Mp,pre_inj__vs__sp_Ame,pre_inj__vs__sp_Mn,pre_inj__vs__sp_Mp,pre_inj__vs__mln_Mp,sp_Ame__vs__sp_Mn,sp_Ame__vs__sp_Mp,sp_Ame__vs__mln_Mp,sp_Mn__vs__sp_Mp,sp_Mn__vs__mln_Mp,sp_Mp__vs__mln_Mp
Esr1,-2.4143410257895215,-0.9732187233063428,-3.0895707554280625,-0.6672346345721968,-1.7009855561834981,-0.5289172453808282,1.3144499604802486,0.7134495753973236,-0.31146786043958924,0.7711718138880421,0.046731250761382834,1.084233766227775,7.0881697622893975,-1.4295322528681238,0.22654823465554527,-0.8225784715296831,0.4578865746720985,7.955169888220881,2.1117749453749113,0.44128029180250733,2.821048555262221,16.198656141792643,-1.0074392839280664,0.2650241042788621,3.8567439932211816,1.5188527959612053,8.77464542492951,3.5941037295481197
Esr2,3.714145800940639,1.0017081581075933,0.7490983094474246,1.0673549438787533,1.3589231938086228,-0.40344123890898537,0.10425835125719368,-1.2755644607477656,-1.1179761636159788,-0.8565319504059307,-0.49219590842710115,-4.334835816283518,-2.8106575100285505,-0.13660627325103994,0.08533407354538036,0.4907151578987292,-2.4220799779985267,-1.195413699693288,0.2226208309121415,0.4967393546233301,-1.8209434963885864,-0.7660215486940634,0.3113969526859325,-4.050311161674731,-1.1038292708490527,-3.9649657997977323,-1.5822593498000863,0.6370252005158628
Esrra,-0.563415323034095,0.5438378368803719,-4.174935013313733,0.18286738557225685,-2.7214930732623706,-0.46133858943807743,-1.3985543849205833,1.607242491091953,-2.000054637827701,0.724171240995553,-1.356511864820621,0.11201158463707137,-0.3585405507002351,-12.874786529803444,-0.42626544935279775,-14.553696510487784,-1.5364707568762546,-4.741264011599359,10.75354724006639,0.319105346730446,4.47695708754259,2.0138644284161877,-7.628459633480161,-1.0665285574747705,-2.011277527895728,3.1692551107942513,1.0549628113872562,-0.7937677855342928
Esrrb,0.35819261606479247,0.6842207507366513,-1.0882766212149575,-0.9669826933940455,1.509015908101932,-0.4622521160053959,-1.7269646325578065,0.2345611215437415,-1.649790339832065,-1.553070509158247,0.817724812397859,-0.7792785810784011,-2.342379926969681,-4.025396383232513,-5.688196983980479,0.9104114448611501,-2.063153990662725,-9.008542915741387,0.10259071971954076,6.896092730900161,0.6681976888068993,-0.11084744952237462,11.412193479975972,0.6950039552881644,-0.21163381372720713,-5.562739649666781,-10.514891933582751,-0.9956031188139449
Esrrg,0.08813447316999527,-0.22195827363343412,-1.0415054874405139,-1.3247910393103686,0.2108464211010837,-1.2576022478590543,-1.5221136515381182,-0.352140599553457,-1.0504613122465638,-1.3297509133488636,0.12193560784881856,-1.0246666884921498,-1.336378853153607,-0.8196461644404872,-1.4623476476137311,0.7641676814195817,-0.8515430571509836,-1.2584646859288389,-0.12000903555446021,1.690155672505848,0.0580344314911355,-0.07357556448230781,3.0123782337861607,0.23838473599998025,0.042033762921306034,-2.2105435904726356,-2.1612760721326216,-0.1453033536774389
Hnf4a,3.324291902646486,3.0854933572012246,0.8883742468079466,0.3870086525868853,4.016845725650808,0.7026500284477872,3.8915592461026427,-0.03000432836147736,-0.7050431139044198,-1.3651680252448561,0.3150102339456377,-1.0996878220063573,-0.06714462490750046,-0.9430972197961012,-2.922063525772152,0.6094575756000629,-1.8230121214462567,-0.059031651874477134,-0.42895374264907965,1.6937279364592317,-0.24825897999368582,0.9543738191713699,4.948074443170754,0.1834656015968126,2.100601766778817,-3.7378364582861767,-0.5051249436823457,1.9212253246386546
Hnf4g,-3.5538627976455666,-0.527255381639018,-1.1439252388890102,-0.6437452716637266,-0.7671730413497272,-2.133945609778257,-2.2953872607624897,1.8484041491021477,0.6044129768028764,1.1333283522793658,0.8165329900102932,0.38679616237522174,0.34103144577435385,-0.5101663119799452,-0.13265346166760517,-0.36434081839151944,-0.9700931089156023,-1.2455088060310835,0.39211521023575546,0.16539470525733246,-0.22356672787470702,-0.2972777213148894,-0.16836607698480524,-0.9804950411272222,-0.779973136925339,-0.45445702109099395,-0.47507391746029737,-0.07247004778400531
Ncoa1,19.526014082182833,3.026169632906273,-0.04554327954525242,0.5572255027160488,0.41126812844148786,0.15992157025224865,1.441781213072694,-3.0172843120019213,-12.632261223763852,-7.701494641827934,-7.728112105706063,-12.162955428036177,-5.7416222529278125,-3.994230190753585,-2.1415792688215527,-2.384602094952732,-3.7967759393242604,-0.9510403593787021,0.7797189070524878,0.5468763361335696,0.22278134696944743,1.6065132624397391,-0.05686716057557881,-0.6107133574400164,0.37425490887895785,-0.37131522187573873,0.4278326892159012,1.3172022018406373
Ncoa2,-0.06710575411392711,-0.8028355504688928,-0.5920547344355344,-0.15623284967672424,-1.9606359121377048,-0.513014551352334,-0.5129148781247845,-0.717791256175675,-0.41926471216212785,-0.07206333018805514,-1.6810450519129079,-0.28462162672535857,-0.3056997351947219,0.08921839911840256,0.7880182026155338,-1.1337710758123671,0.28575099030722334,0.29937969365293354,0.46506187710660585,-0.932134709115984,0.1578834056602703,0.14362607580767067,-2.859603963359392,-0.3534608856197331,-0.26840486636135,1.7476399170040695,1.426834874979185,-0.014202756645506593
Ncoa3,-0.5164149145826411,-6.778119491961781,-1.7424236978378984,-5.900555678263055,-5.594668765607739,-5.113045164645715,-1.2759548494470063,-3.785652215177094,-0.6909084153442754,-2.5761552976838575,-2.8172468192898346,-1.5201052228573348,-0.3039627474726726,1.1669745859659941,-0.004106489330262978,-0.11271929129776721,0.4389552183269068,3.995119088219887,-1.2998917156071592,-1.206172144711518,-0.543244349836131,0.451736286897787,-0.08913436960141521,0.5658359342006668,2.7101557964760974,0.5800173454883698,2.796555939027517,1.6188225223944146
