target,si_Mp__vs__si_Mn,si_Mp__vs__mln_Mn,si_Mp__vs__pre_inj,si_Mp__vs__sp_Ame,si_Mp__vs__sp_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__mln_Mp,si_Mn__vs__mln_Mn,si_Mn__vs__pre_inj,si_Mn__vs__sp_Ame,si_Mn__vs__sp_Mn,si_Mn__vs__sp_Mp,si_Mn__vs__mln_Mp,mln_Mn__vs__pre_inj,mln_Mn__vs__sp_Ame,mln_Mn__vs__sp_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__mln_Mp,pre_inj__vs__sp_Ame,pre_inj__vs__sp_Mn,pre_inj__vs__sp_Mp,pre_inj__vs__mln_Mp,sp_Ame__vs__sp_Mn,sp_Ame__vs__sp_Mp,sp_Ame__vs__mln_Mp,sp_Mn__vs__sp_Mp,sp_Mn__vs__mln_Mp,sp_Mp__vs__mln_Mp
Esr1,0.23214927606400126,0.5235963510605524,0.23977750389703215,0.6411059154098169,0.33186617605809354,0.7269358345660974,0.42407012177268477,0.5917725350276375,0.8362611612328368,0.5395517333746311,0.9537096006432493,0.4393768440056972,0.052949432247068495,0.4119326424426091,0.8472468897935095,0.5767569164285529,0.6887777279097178,0.044292971624657805,0.2876068622816372,0.7662267503244441,0.23574311127781725,0.018181078758230627,0.4607855430291984,0.7967395628963545,0.12868384875666536,0.3459305743632075,0.04192062353298075,0.15273420917174546
Esr2,0.1495123396565606,0.5153320801170456,0.6138038215049517,0.5031116517293411,0.4070293008142898,0.785270835595564,0.8869299076538177,0.44679637658016735,0.49397621507187994,0.5373253277833702,0.6845738344421635,0.12507471541684823,0.20317445894703262,0.9413530517850749,0.9362651816429579,0.7318393104494283,0.24974542700358485,0.4453343537361403,0.8790051746506158,0.7398749764615007,0.3405298443092625,0.6073878896430684,0.7919303631595807,0.14299178397337672,0.4726794243849014,0.1430049517974023,0.3764581729489218,0.6041552366066117
Esrra,0.6346184816515763,0.686697069970198,0.17219503780437606,0.878324207776912,0.21159984337993065,0.7578976739506307,0.4503680704393703,0.36018291728773144,0.313757343545498,0.5565828100910202,0.3891272190913203,0.8776267836575281,0.8004564819439115,0.02607960309419284,0.7484688519933054,0.02342778862180265,0.37671245699186484,0.10690587561636548,0.03399677894620514,0.8341969162798927,0.14029462963303446,0.31440511001307225,0.05077729428929423,0.49516588890970714,0.29088657202452933,0.17029565632754937,0.44031700026109744,0.5826178978871983
Esrrb,0.7225945885731738,0.5568591193383156,0.47512811083295325,0.4598554595542248,0.30360211538866344,0.7039605316941471,0.31550819214114706,0.7790323524374518,0.3026827867625152,0.28477895985294577,0.45617682009383476,0.5124119171352021,0.19272464043859788,0.1087937412398268,0.07007453939200166,0.5082496880799068,0.23177468188887065,0.027242937215904248,0.95115833265426,0.054107858917267826,0.5866636863344329,0.9146017435247545,0.016807083898351276,0.5116328884214343,0.8568553891149869,0.0663512743553749,0.023499007280106246,0.4376226804279979
Esrrg,0.9490106294460579,0.832513126334382,0.5195983454467377,0.39653608916974414,0.8414785279255355,0.4381346475460749,0.3807778917682403,0.767885541943111,0.47151122635254605,0.3595914856801905,0.8823073143166501,0.45684437544827805,0.37025055158291076,0.5481701914933247,0.3650825035370385,0.5782327249972392,0.5190454114536194,0.3885166662754078,0.8557479301571672,0.33118249719684,0.9750812962256715,0.9509971797248962,0.15446832475779312,0.7867314115625941,0.9062320490666875,0.2362251115738676,0.24839507757226978,0.9117651044509987
Hnf4a,0.12637674023692624,0.15315120262472975,0.4910030546291425,0.7102975149600116,0.10366668869522051,0.5541373608681385,0.11382110580736104,0.9988897004935728,0.5699311523227601,0.32356371827223795,0.7194770824047738,0.40413401981917785,0.9863720432172465,0.46987393048383364,0.16420852582205606,0.6162556005162771,0.25914719896306704,0.9822500247929886,0.6247142760738051,0.30388784413885983,0.7838127143124296,0.4575729131679426,0.0705152031353404,0.8072596313461822,0.1909885245189347,0.11533827982653672,0.6715475365950815,0.2304655443863734
Hnf4g,0.12753007823633045,0.6561424571694356,0.4927051484909998,0.6156231301004598,0.5241357667824507,0.28645461275703343,0.2651363983635848,0.2787799828935566,0.5672912742729435,0.383145459494598,0.4887689856651336,0.6713732730917779,0.6643258853348686,0.6885447232500659,0.9027438816938592,0.7390159984973149,0.4769031438141832,0.3899177664328437,0.7463612048487263,0.9207415701914294,0.8187153855848545,0.7972125549856433,0.8321315667582049,0.47601709613968657,0.542380394622461,0.705056148388818,0.7119435032788163,0.9716238990711817
Ncoa1,0.004213723280472058,0.1574494275615153,0.9980052657112881,0.6174892790551822,0.6833956897183904,0.8484704991686542,0.32387839656036477,0.161127216660419,0.01724138690599785,0.03604222298633813,0.03538411544837863,0.016307665707222415,0.05881803574828205,0.1102635619587875,0.231563655495051,0.21234184064928938,0.11180200847280106,0.44475855137972486,0.5200983019544378,0.6531253951899219,0.8417410973642914,0.307879642610257,0.9169533525996505,0.5901907062375591,0.6356930203266165,0.7331594620252668,0.6028345720556754,0.32343462662898625
Ncoa2,0.895931287481925,0.48072766172584136,0.6382784816495524,0.861343315334116,0.20928976739498031,0.6552803553974047,0.6699865205456241,0.5253865724306228,0.7054255602539672,0.9523368942491321,0.23695356061430187,0.7768273439352222,0.7790500523658751,0.8558596195155264,0.48365015331501515,0.3804369871936878,0.7079258548207852,0.643382701386415,0.6556704965802289,0.3944225117204715,0.8811471038742408,0.8602682129868029,0.12220498088576277,0.7202175423916348,0.795283794813422,0.21950246835141046,0.25892935255332306,0.9723808031678445
Ncoa3,0.5838945480423546,0.052727683675769285,0.333430279296392,0.06824014564499165,0.06193258499588174,0.09199711290032563,0.4033697904477578,0.11902021412338049,0.5787815670475089,0.1670993742241866,0.14685961876494208,0.30431166334927434,0.794561274640737,0.35934871075395547,0.9975128611689854,0.8869804973175577,0.632855700719418,0.08551522666901984,0.32143394817333415,0.3522772004135074,0.6139267342131836,0.6773793579775207,0.8855508975680366,0.569312822536058,0.14698118648206004,0.5408199141546941,0.14260421451892794,0.2742821701751684
Ncoa4,0.7269364248955817,0.5925248595055363,0.5915743824437912,0.7175173312283494,0.4402393284604742,0.6849873492968683,0.8066313734918427,0.3508382985234316,0.3996298718979072,0.4965971667087419,0.27365733170104023,0.500166596188863,0.5638684580922199,0.9222425770820062,0.840222829612957,0.6848397785761599,0.8407989504267002,0.6491523869402533,0.7708495494658013,0.8174493972641417,0.7813889439775368,0.6559337904757481,0.5508681354198581,0.9932469815386638,0.845371691420715,0.5512354523189659,0.48098858749353224,0.8369301861834271
Ncoa5,0.9014516067103302,0.7873739020311236,0.7942611138374235,0.6677718348707858,0.8810761420511766,0.6852747750525474,0.9824586261043156,0.8683409408509397,0.7098474114102087,0.5838377456442367,0.7935323691911629,0.6371594370720697,0.9203328300409768,0.5198570814699341,0.33567825859866585,0.5767960099524303,0.40943616106349,0.7138123285027278,0.8533936653889456,0.8895628717954616,0.9323453420300779,0.7153679818418813,0.7113168794393983,0.9062555673328025,0.5558906558555445,0.788732067273404,0.8346107276704519,0.5911388763699856
