name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Ncoa6-3,119586,44478,70497,73315,82359,67384,21349,9487,93483,509751,419200,287034,1558166,716509,3548058,2878485
Ncoa7-1,3312,4227,697,1704,2250,1410,2297,706,5773,400,339,331,113,1801,510,12
Ncoa7-2,171031,334506,293332,290831,641646,198730,209135,267488,84920,138375,111040,130787,108758,150556,26666,56602
Ncoa7-3,12649,3763,5477,3514,8951,6134,6619,7712,9094,5445,7239,5191,2571,2491,510,665
Non-targeting-negative-control-#2-(RFP)-1,47296,8610,11671,40838,52409,12268,21991,12196,23071,48409,10048,17425,84,608,1961,7421
Non-targeting-negative-control-#3-(RFP)-2,4148,61,0,37,56,2,11,0,428,3,26,63,0,10,0,0
Non-targeting-negative-control-#4-(EGFP_881)-1,10760,31693,29228,35080,10621,8678,25250,20292,3018,4365,5481,1617,6985,1851,484,2705
Non-targeting-negative-control-#5-(EGFP_1212)-2,60970,104942,75941,162628,104788,84123,51021,38246,28997,41868,47857,29241,34520,35021,24898,16888
Nr0b1-1,2642,14313,8980,8212,40621,10952,7183,4888,3051,7178,6156,8135,8189,10574,2788,3504
Nr0b1-2,14738,6454,9242,11159,16780,9603,9727,10355,5311,9565,2607,6354,6329,5603,602,537
Nr0b1-3,1964,1473,7,20,23,434,3,0,3455,213,253,650,24,1148,0,0
Nr0b1-4,2759,286,0,141,535,162,3,1,911,158,362,1433,61,192,50,1287
Nr0b2-1,17531,8004,9307,11984,3660,2248,4045,15083,4776,2860,2720,5781,2270,2843,246,2477
Nr0b2-2,14654,50966,15640,23278,103405,34774,7033,5608,38448,34556,14864,3738,18501,6409,0,2765
Nr0b2-3,17084,433,671,9533,649,2677,0,500,7930,2494,1440,3649,6218,6256,188,1396
Nr1d1-1,388,989,389,655,6121,1630,423,38,3,1230,34,16,137,0,18,0
Nr1d1-2,77563,14102,9708,9612,12799,7019,1290,1,46245,17485,39685,16350,25126,7795,11485,5332
Nr1d1-3,2530,0,12,3,150,1,0,0,3822,4311,868,175,26,0,12,0
Nr1d2-4,4062,1896,1680,5180,1243,948,1751,3056,7475,4263,608,853,4054,2183,89,358
Nr1d2-5,11526,7252,7511,7501,5818,1167,120,790,4059,32929,33821,21105,23586,14147,4111,13375
