,si_Mn,mln_Mn,mln_Mp,sp_Mp,sp_Mn,pre_inj,si_Mp,sp_Ame
Ncoa3-5,82.99987127093972,95.19261715689031,91.88450874717346,89.14783152356046,93.97460939017895,88.37539032571537,80.16379337966131,93.30859679607651
Ncoa4-1,74.95651890469178,79.40150820717943,78.51896499975535,78.68986906407677,78.60501147582104,83.9744803956504,71.59714797465634,77.56549629725839
Ncoa4-2,83.4029351974232,89.11688855492868,89.47248513708875,88.18773986148388,90.08024898278914,91.38803157147865,80.60560734711993,88.48236067134444
Ncoa4-3,85.29091723323268,85.7310531871073,87.32488087624863,85.7791356260631,88.22262676271646,90.1505393800757,78.11388551233772,85.0052940945053
Ncoa4-4,77.01598296959112,80.50182383055025,84.8967838892002,85.18747859601473,81.12693015863661,83.19024119290039,74.97872506180309,83.38985613203931
Ncoa4-5,56.58649120055431,68.2858041570973,63.72061798035337,70.3276101410314,72.78948846229531,79.39793252829355,66.599324082642,75.61605522773837
Ncoa5-1,74.07955552239765,71.96513620737205,73.74392148837832,76.16821194538713,78.02061168513221,74.14786484644014,72.06268552216277,78.30910300411603
Ncoa5-2,74.4216468398895,76.9948442825626,81.02338292881299,84.96934053400307,78.0918058986105,89.68114051186681,71.71386402940301,82.89533099943412
Ncoa5-3,75.39265714063299,78.54367298986098,80.32897629081714,80.52867822276973,78.79727734600453,85.99326092807361,74.89689744371972,82.642841481648
Ncoa6-2,88.60592106688242,84.83810383419433,86.11360356361124,89.31563825066772,88.46890221867861,85.96401212923128,86.27576348227713,88.45620585960022
Ncoa6-3,99.99535491577998,99.08674925354013,99.86587177674011,98.1693263143523,96.53519639067827,94.08689204393819,99.99760958529505,98.14108185186606
Ncoa7-1,63.14365274672634,70.37639122416054,68.51546924169541,65.06302702854852,67.66638314740217,75.73450820592666,69.44633484278472,72.13479136349976
Ncoa7-2,96.64713958748197,96.66235948731122,98.89712142919038,97.55782254903647,97.14948283733077,94.99175347161626,94.71137530160097,97.63684909513677
Ncoa7-3,76.0580352576839,75.81863485094497,77.19276139477522,78.58871435765747,75.5155359788039,80.8023856977607,74.5021908676061,75.96466406251011
Non-targeting-negative-control-#2-(RFP)-1,81.01238143092719,78.12269513243359,86.19758821561261,81.75090562340199,86.74353313131925,87.84603453327739,81.5220316905128,86.74674395801237
Non-targeting-negative-control-#4-(EGFP_881)-1,81.95979144086517,76.95767412387606,79.6639355809291,84.5621294371663,83.96086786284425,78.12269513243359,81.95034122537136,83.98975822625152
Non-targeting-negative-control-#5-(EGFP_1212)-2,87.21336568914646,91.31213794070737,91.91449372579235,92.04812904560497,93.57068971640015,89.3013383938299,88.4402948873984,92.25299231186482
Nr0b1-1,76.0703765968935,81.14312200656774,85.76020199742551,79.60888148114583,79.14978120488371,73.12170917920892,76.40026951811464,80.89285951930606
Nr0b1-2,77.56549629725839,79.08990933783056,81.27378832535666,78.17965108178244,79.55333100256834,80.32282262962734,76.60122812379943,79.16094261299098
Nr0b1-3,43.57963889333246,66.72522769448666,50.854673217499844,58.6246979355269,62.209593376856354,72.85322513438709,43.57963889333246,66.81778447820848
Nr0b1-4,66.0290976512502,59.579372412248496,61.75043290905688,60.05131119187027,66.37173375419593,70.7371854945908,51.62760541609119,60.377791241554604
Nr0b2-1,80.35659205016802,72.87431809387867,73.44577139661904,78.26625527140277,79.63647001943423,80.95707773460094,71.71386402940301,76.90954809082349
Nr0b2-2,76.05185513830696,85.0324760758839,91.16394197047384,83.78634287635653,82.12286547064224,86.15870112115836,74.42975029374212,89.1611394414417
Nr0b2-3,67.99709237221188,76.02085951451183,74.25722357546783,68.6707961341751,77.89399527498584,81.6375307350998,56.58649120055431,69.68893688820019
Nr1d1-1,50.854673217499844,66.8482914284234,73.74392148837832,60.782146705296256,62.209593376856354,59.70167708444618,60.377791241554604,68.23871391893202
Nr1d1-2,73.52172749577171,78.93762965247744,84.24052779829367,86.68543544823297,81.88617027141173,91.1491164003883,77.82507234425925,83.19410480138959
Nr1d1-3,43.57963889333246,43.57963889333246,56.34864436361433,64.24014370385,56.34864436361433,73.7257200610277,46.89166021331561,71.7522539201195
Nr1d2-4,71.09096803539309,70.24537171598547,72.82144316688989,69.09225117514609,73.46485200459824,77.0998118411177,67.25844704765714,73.70746262063761
Nr1d2-5,79.09366844623676,79.1311337515445,82.71216830955623,85.61430897041129,82.46493673429394,78.84441837718822,71.63631462653922,84.64183709769652
Nr1d2-6,71.7903919075228,75.66898824948325,68.9064997347054,81.90525366613883,79.91892915798701,77.17222805209326,67.34248688823774,79.30059585412458
Nr1h2-1,59.93750502488707,43.57963889333246,46.89166021331561,49.906505968925366,43.57963889333246,56.58649120055431,43.57963889333246,62.829165867373604
Nr1h2-2,77.88485026609138,75.81220500767549,80.73652827118082,82.04186817673325,76.45258335745334,78.54367298986098,77.49762425055464,81.00962798868879
Nr1h2-3,69.83323033778991,77.34959378978792,71.50471743344539,67.89742190913184,67.02784376160271,74.24888223420271,67.20169809072947,76.07653784276461
Nr1h3-4,88.77503390231543,87.80072765284689,89.81979774112814,90.26848578358535,88.51390068294818,90.3943934629194,85.23321111550972,90.93032210223143
Nr1h3-5,62.06109586191039,67.47976307743781,74.34000153660556,69.23260271181493,71.94049157999443,72.19420645907128,68.44755646833444,68.49292325479973
Nr1h3-6,82.07671183462747,76.06420907286252,74.67565765168719,84.24865713807174,83.95575531247056,85.55310725671208,70.59869614694692,80.53760377344929
Nr1h4-1,87.48822190574974,80.25161072490205,81.53216141971568,80.42358130356226,81.4429569199048,82.08597027741358,84.94766503384318,79.40508181099449
Nr1h4-2,97.85951770577195,98.76884551981892,98.28861165494996,98.71254605738329,98.64870764804927,98.44340029920431,95.52124880717474,98.68839926884625
Nr1h4-3,62.06109586191039,75.1174879003688,70.59869614694692,75.86982874267426,74.51018586907348,77.1876345373403,64.14027087136009,76.69092622050368
Nr1i2-4,76.16214332666456,79.36206107582059,77.59435513109817,75.62269731028022,75.84428601232888,81.29749025394636,68.5825666772571,75.64257979038746
Nr1i2-6,83.74059561369435,74.38096377765041,76.38858271337313,79.27875489883493,74.47814147903941,84.79074575583459,89.8451305400865,75.2531178251186
Nr1i2-7,79.27875489883493,85.51107679420468,83.7352949501321,85.15539745021572,85.2249219509674,86.68219086047145,73.05062030934332,83.59221939692935
Nr1i2-8,80.01675085303326,80.09071037568555,82.3130187987608,81.60010522431335,80.73940630280401,87.03382469474157,79.52886926458677,85.1721567884916
Nr1i3-1,73.47436928656688,59.82100568351759,70.36017705096486,82.0929049855186,76.74080574187452,76.62377707552038,69.57825630144343,78.13149210771466
Nr1i3-2,69.27206969005297,73.00960977630695,68.14332146755453,74.56585342633669,68.40181807882666,76.32980854268273,54.584823011003316,73.76206725528638
Nr1i3-4,63.26428353476937,43.57963889333246,43.57963889333246,70.78261628583505,43.57963889333246,75.9583877742064,52.28149440976294,65.43117287697665
Nr1i3-5,78.26625527140277,71.58403345567818,68.0217327580408,69.36954648257192,71.58403345567818,75.53577434778785,72.2060172771103,63.72061798035337
Nr2c1-1,71.55771513606808,76.7131454306433,76.59557778553551,78.09622819021753,76.88264609842658,75.92690825114549,68.98981429294516,78.08738041359014
