name,si_Mn__vs__mln_Mn,si_Mn__vs__mln_Mp,si_Mn__vs__sp_Mp,si_Mn__vs__sp_Mn,si_Mn__vs__pre_inj,si_Mn__vs__si_Mp,si_Mn__vs__sp_Ame,mln_Mn__vs__mln_Mp,mln_Mn__vs__sp_Mp,mln_Mn__vs__sp_Mn,mln_Mn__vs__pre_inj,mln_Mn__vs__si_Mp,mln_Mn__vs__sp_Ame,mln_Mp__vs__sp_Mp,mln_Mp__vs__sp_Mn,mln_Mp__vs__pre_inj,mln_Mp__vs__si_Mp,mln_Mp__vs__sp_Ame,sp_Mp__vs__sp_Mn,sp_Mp__vs__pre_inj,sp_Mp__vs__si_Mp,sp_Mp__vs__sp_Ame,sp_Mn__vs__pre_inj,sp_Mn__vs__si_Mp,sp_Mn__vs__sp_Ame,pre_inj__vs__si_Mp,pre_inj__vs__sp_Ame,si_Mp__vs__sp_Ame
Dmrta1-4,-0.3298748917687533,1.896691645529259,0.11491579173116406,-1.067721922392451,9.528790373692303,1.2430376694046288,-0.6464422969793304,2.2265665372980123,0.44479068349991735,-0.7378470306236977,9.858665265461056,1.572912561173382,-0.31656740521057714,-1.781775853798095,-2.96441356792171,7.632098728163044,-0.6536539761246303,-2.5431339425085895,-1.182637714123615,9.413874581961139,1.1281218776734647,-0.7613580887104945,10.596512296084754,2.31075959179708,0.4212796254131206,-8.285752704287674,-10.175232670671633,-1.8894799663839592
Dmrta1-5,12.465828667140869,2.376532333489081,1.7870298728911536,6.497683100658193,11.725986565487574,-1.3721578318971126,12.633574754413857,-10.089296333651788,-10.678798794249715,-5.968145566482676,-0.739842101653295,-13.837986499037982,0.16774608727298812,-0.5895024605979273,4.121150767169112,9.349454231998493,-3.7486901653861935,10.257042420924776,4.71065322776704,9.93895669259642,-3.159187704788266,10.846544881522703,5.228303464829381,-7.869840932555306,6.135891653755664,-13.098144397384686,0.9075881889262831,14.00573258631097
Eomes1,-4.9052795086918195,-1.2987947825660768,-3.616755006817357,-2.217179255089448,-5.171326779540962,0.1845482173629307,-2.4657836120247794,3.6064847261257427,1.2885245018744627,2.6881002536023715,-0.2660472708491426,5.08982772605475,2.43949589666704,-2.31796022425128,-0.9183844725233712,-3.8725319969748853,1.4833429999290075,-1.1669888294587025,1.3995757517279088,-1.5545717727236052,3.8013032241802875,1.1509713947925775,-2.954147524451514,2.4017274724523787,-0.24860435693533134,5.355874996903893,2.7055431675161827,-2.65033182938771
Eomes2,0.3280279073131709,-0.7747106017234415,-3.9077703987747725,-1.276041198501602,-2.5762703957196607,0.14526944364040162,-1.1253890877174797,-1.1027385090366124,-4.235798306087943,-1.604069105814773,-2.9042983030328315,-0.18275846367276927,-1.4534169950306506,-3.133059797051331,-0.5013305967781605,-1.8015597939962191,0.9199800453638431,-0.35067848599403817,2.6317292002731705,1.3315000030551118,4.053039842415174,2.782381311057293,-1.3002291972180586,1.4213106421420036,0.15065211078412233,2.7215398393600623,1.450881308002181,-1.2706585313578813
Eomes3,-2.189848756835417,-3.5287776907704966,-1.773005511906291,4.394722569619631,0.7295352731774614,-1.9891488358188951,-2.2604822988873394,-1.3389289339350796,0.41684324492912594,6.584571326455048,2.9193840300128784,0.2006999210165219,-0.0706335420519224,1.7557721788642056,7.923500260390128,4.258312963947958,1.5396288549516015,1.2682953918831572,6.167728081525922,2.5025407850837524,-0.21614332391260405,-0.48747678698104835,-3.66518729644217,-6.383871405438526,-6.655204868506971,-2.7186841089963565,-2.990017572064801,-0.2713334630684443
Eomes4,-4.842273800522392,-4.448424883282584,-7.399453321849677,-7.994565663152457,-7.2702873647336475,-0.27000270099983936,-8.714899682561537,0.39384891723980786,-2.557179521327285,-3.152291862630065,-2.4280135642112555,4.572271099522553,-3.872625882039145,-2.951028438567093,-3.546140779869873,-2.8218624814510633,4.178422182282745,-4.266474799278953,-0.5951123413027801,0.12916595711602952,7.129450620849838,-1.31544636071186,0.7242782984188096,7.724562962152618,-0.7203340194090799,7.000284663733808,-1.4446123178278896,-8.444896981561698
Eomes5,-1.071476494624065,0.30035214991993087,-1.958301991888689,-3.178472271235904,0.0625389933542948,1.0515184871408536,-2.6072475992681916,1.3718286445439958,-0.8868254972646241,-2.1069957766118392,1.1340154879783597,2.1229949817649185,-1.5357711046441267,-2.25865414180862,-3.478824421155835,-0.23781315656563606,0.7511663372209227,-2.9075997491881225,-1.2201702793472151,2.020840985242984,3.0098204790295426,-0.6489456073795026,3.241011264590199,4.229990758376758,0.5712246719677125,0.9889794937865588,-2.6697865926224864,-3.658766086409045
Esr1-1,-2.373218657645694,-0.4358834202615185,-4.46391786404368,-5.665206229163985,-11.624490493429064,-3.4269053233846876,-3.4041787060587865,1.9373352373841755,-2.0906992063979857,-3.291987571518291,-9.25127183578337,-1.0536866657389936,-1.0309600484130925,-4.028034443782161,-5.229322808902467,-11.188607073167546,-2.991021903123169,-2.968295285797268,-1.2012883651203055,-7.160572629385385,1.037012540658992,1.0597391579848932,-5.959284264265079,2.2383009057792975,2.2610275231051986,8.197585170044377,8.220311787370278,0.02272661732590109
Esr1-2,5.8359373075967085,12.592440351401159,5.6053340215422764,2.327725325111004,-3.726141117934631,22.009107851699575,7.51225547399406,6.75650304380445,-0.23060328605443203,-3.5082119824857045,-9.56207842553134,16.173170544102867,1.6763181663973512,-6.987106329858882,-10.264715026290155,-16.31858146933579,9.416667500298416,-5.080184877407099,-3.2776086964312725,-9.331475139476908,16.4037738301573,1.9069214524517832,-6.053866443045635,19.68138252658857,5.184530148883056,25.735248969634206,11.23839659192869,-14.496852377705515
Esr1-3,-2.1282477826226085,4.982087977749956,-0.1232276897672051,-2.7301202421674446,-7.885067349267615,4.689189143853682,-6.594978336696798,7.110335760372564,2.0050200928554034,-0.6018724595448361,-5.756819566645007,6.81743692647629,-4.466730554074189,-5.105315667517161,-7.7122082199174,-12.86715532701757,-0.2928988338962739,-11.577066314446753,-2.6068925524002395,-7.76183965950041,4.812416833620887,-6.471750646929593,-5.1549471071001705,7.419309386021126,-3.864858094529353,12.574256493121297,1.2900890125708173,-11.28416748055048
Esr2-1,0.07164060619744106,-9.684557697865543,-11.298457545625283,5.1189894584489295,-15.401471242634528,-5.043915547506998,-0.27694379607543596,-9.756198304062984,-11.370098151822724,5.047348852251488,-15.47311184883197,-5.115556153704439,-0.348584402272877,-1.6138998477597397,14.803547156314472,-5.716913544768985,4.640642150358545,9.407613901790107,16.417447004074212,-4.103013697009246,6.254541998118285,11.021513749549847,-20.520460701083458,-10.162905005955928,-5.3959332545243655,10.35755569512753,15.124527446559092,4.766971751431562
Esr2-2,-4.094151968862093,-3.5614359068380423,-6.530862826987629,-4.052283602962049,-1.4629839573173626,-1.5169325565803433,-5.027668069056176,0.5327160620240505,-2.4367108581255366,0.041868365900043614,2.6311680115447302,2.5772194122817496,-0.9335161001940833,-2.969426920149587,-0.4908476961240069,2.0984519495206797,2.044503350257699,-1.4662321622181338,2.47857922402558,5.067878869670267,5.013930270407286,1.5031947579314533,2.5892996456446866,2.535351046381706,-0.9753844660941269,-0.05394859926298068,-3.5646841117388135,-3.510735512475833
Esr2-3,-11.95643862517592,-14.239926223900255,-16.02449955491194,-14.350815935580883,-14.131519442686269,-6.088181831478053,-15.717385330732867,-2.283487598724335,-4.068060929736021,-2.3943773104049626,-2.1750808175103487,5.868256793697867,-3.7609467055569468,-1.7845733310116856,-0.11088971168062756,0.10840678121398639,8.151744392422202,-1.4774591068326117,1.673683619331058,1.892980112225672,9.936317723433888,0.30711422417907386,0.21929649289461395,8.26263410410283,-1.3665693951519842,8.043337611208216,-1.5858658880465981,-9.629203499254814
Esrra1,-6.222165358132997,-8.10432186629474,-5.539682049807368,-5.093539355045991,-12.308059058139449,10.339814584656082,-2.4897069734484205,-1.8821565081617422,0.6824833083256294,1.1286260030870068,-6.0858937000064515,16.56197994278908,3.732458384684577,2.5646398164873716,3.010782511248749,-4.203737191844709,18.444136450950822,5.614614892846319,0.44614269476137736,-6.768377008332081,15.87949663446345,3.0499750763589475,-7.214519703093458,15.433353939702073,2.60383238159757,22.64787364279553,9.818352084691028,-12.829521558104503
Esrra2,-4.583493210627573,-13.180037715718356,-12.17144944550165,-16.161391486991363,-20.342891394268392,-8.216197849400437,-2.702333985376214,-8.596544505090783,-7.587956234874078,-11.57789827636379,-15.759398183640819,-3.6327046387728643,1.8811592252513591,1.0085882702167055,-2.9813537712730067,-7.162853678550036,4.963839866317919,10.477703730342142,-3.989942041489712,-8.171441948766741,3.9552515961012134,9.469115460125437,-4.181499907277029,7.945193637590926,13.459057501615149,12.126693544867955,17.640557408892178,5.5138638640242235
Esrra3,17.331326292916664,7.941534370095155,9.390592258033408,0.9011724838356088,-3.614433200399162,11.255426214509427,2.2963005763621,-9.389791922821509,-7.940734034883256,-16.430153809081055,-20.945759493315826,-6.075900078407237,-15.035025716554564,1.4490578879382525,-7.0403618862595465,-11.555967570494317,3.3138918444142718,-5.6452337937330554,-8.489419774197799,-13.00502545843257,1.8648339564760192,-7.094291681671308,-4.515605684234771,10.354253730673818,1.395128092526491,14.86985941490859,5.910733776761262,-8.959125638147327
Esrrb1,0.312735239838311,-2.739486983336171,-1.4011160027633949,1.8109353056358515,-12.53763322157235,1.0047035453880753,-6.172178680197575,-3.052222223174482,-1.7138512426017058,1.4982000657975405,-12.85036846141066,0.6919683055497643,-6.484913920035886,1.3383709805727761,4.5504222889720225,-9.798146238236178,3.7441905287242463,-3.4326916968614043,3.2120513083992464,-11.136517218808955,2.40581954815147,-4.77106267743418,-14.3485685272082,-0.8062317602477762,-7.983113985833427,13.542336766960425,6.365454541374774,-7.176882225585651
