target,si_Mn__vs__mln_Mn,si_Mn__vs__mln_Mp,si_Mn__vs__sp_Mp,si_Mn__vs__sp_Mn,si_Mn__vs__pre_inj,si_Mn__vs__si_Mp,si_Mn__vs__sp_Ame,mln_Mn__vs__mln_Mp,mln_Mn__vs__sp_Mp,mln_Mn__vs__sp_Mn,mln_Mn__vs__pre_inj,mln_Mn__vs__si_Mp,mln_Mn__vs__sp_Ame,mln_Mp__vs__sp_Mp,mln_Mp__vs__sp_Mn,mln_Mp__vs__pre_inj,mln_Mp__vs__si_Mp,mln_Mp__vs__sp_Ame,sp_Mp__vs__sp_Mn,sp_Mp__vs__pre_inj,sp_Mp__vs__si_Mp,sp_Mp__vs__sp_Ame,sp_Mn__vs__pre_inj,sp_Mn__vs__si_Mp,sp_Mn__vs__sp_Ame,pre_inj__vs__si_Mp,pre_inj__vs__sp_Ame,si_Mp__vs__sp_Ame
Esrra,7.592801888177451,6.365502516251168,6.376236577772142,4.9975828051857984,4.830338007313224,6.343448439119498,1.6319284092898165,2.3813725869116227,2.817450578903236,5.235089363087736,4.35437611314152,7.173516498432525,5.9712416401605175,0.4630714450571957,2.9193487459192244,2.1358203158690743,4.792152301989146,4.774835307754788,2.5794963363998846,1.8889724523332665,4.365064818283766,4.8215832316176845,0.9601785896732042,2.2069759875795447,3.835762065759509,3.1509936261157265,3.448390441087662,5.582349059769421
Esrrb,4.284096810121723,4.148178783119108,3.9698187170781645,3.9053040069512277,4.787874950949748,0.7702010750391339,3.086358667190826,3.268279923592115,4.148975188693282,7.656826865790652,2.6820717081251555,5.039437811867334,3.5292928540538093,1.2987999650844095,6.157337084263179,2.09268585311375,4.605748342913002,1.41631927991892,5.171305538785395,2.858988460947073,4.267655439281556,1.1080805314771554,7.261890569937494,3.282241724322132,4.941531473807521,5.362602671827311,2.457316739077583,3.4668104452336177
Esrrg,2.9148529286293257,3.541512767447458,4.254717022909122,4.339574943972564,2.5936201634762828,5.709634686976111,3.9581268226188193,3.2793768129912966,3.7705302153950404,2.3140301363414695,4.056674147551642,4.611935086561258,3.48595956050347,0.8971107074232129,2.356042978578384,2.2165715363792575,2.2316988347281175,0.5813656081864156,2.2961242837894145,2.9634207827393517,1.7293532145800161,0.3433863060312601,4.267706930115802,2.685215784453569,2.173287479340112,4.251711256694615,2.7250060880958475,1.8870843060798754
Hnf4a,5.31774007789862,4.008852154540962,5.134167907854667,7.431338163709021,3.9512878987258984,2.1630638476324084,5.370310375128547,2.6535084807242635,1.6130816442590006,3.909116436194782,2.4625440805046135,4.099061107903709,0.322821905885246,3.737325034223103,4.1968953290456685,2.0781091256533055,2.8826388627590265,2.667525339785953,5.0862808379354,3.05296926086951,4.169805089049082,1.6307068861403042,5.609678359535892,6.871327218800531,3.976359315124818,2.13410683658224,2.4956851957696355,4.099687944651143
Hnf4g,2.3730781219047836,3.1010226336015916,2.530476880109645,2.4597193915143074,4.289825857974726,5.527060737788401,2.8685637988271404,1.590641102538892,2.5909351180927027,1.3121722877662023,3.7864995409402518,4.467371259355205,3.6473990911264993,1.7518149413540405,0.7528907023577648,2.3031672173323896,5.3704028382999764,2.8757310248736525,1.394025299334989,1.82338346668917,5.992692814607341,1.2852320538444828,2.542812239309945,5.017775567651379,2.594927330220119,7.122711337559396,2.1350176940813372,7.145477814617312
Ncoa1,6.249130982889809,5.234806769619006,6.670352787657709,6.386837396736216,7.577486234314563,5.6080809164937735,5.88018230031689,1.1307254891139382,2.457541532630789,3.809033397689153,3.222496148594905,4.843572387458423,1.7211560853182628,2.2906430732096195,3.3600959157094055,3.4603295707768504,4.048749799496036,1.4280616757135534,1.8079513028683913,2.182332070168132,3.066599671983871,1.2658950844938668,2.353901971374629,1.84157657819756,2.1076447661943116,4.175058158552184,2.197303503260825,3.267594633182407
Ncoa2,3.0550058691886943,3.7017918492854944,3.1361800655193695,2.9420489601196733,4.479686442549519,2.6364491846248113,2.5778237936109845,2.849033109594758,1.116663746094765,2.2725798278312523,2.1260033713205613,4.308053569817562,2.0825431535933348,2.181753948782169,2.4990072264006256,3.355262109192081,3.9543007629496647,2.156884307430772,2.1747145798753538,2.1424970605577576,4.07123352216986,1.9975667776208395,2.4676015075573763,4.261134797624633,1.6558487242076418,5.151854296965431,2.513687978689587,2.986712010969195
Ncoa3,3.379907556296483,2.022290070358201,2.942383200258472,2.5313907898229893,5.797145203603429,1.7714699586235874,3.747690635630187,4.600827797484428,1.6366375883944129,1.0666968861613868,3.5244148892815312,4.938537972116591,1.3095535787134078,4.702286877827853,3.9286340398342134,7.2860450590479475,1.2646691185138716,5.3602841918851025,1.3445159851000115,3.192994167942285,4.678096180551427,1.0669444008081435,4.080505341292205,4.183195963402175,1.516488359391541,7.398788268089569,3.063975941679362,5.457293307917198
Ncoa4,1.8528436830579718,1.1021865665514414,2.252393678807569,2.4548050372849692,3.2409342803255203,2.9093425068877714,3.318055900876973,1.473794742696393,1.054116910926609,0.9032207867374389,1.5916455951917678,1.2399669214279447,1.6809513636271862,1.4868365211815535,2.0993205852202257,2.9435799297545207,2.374134515463018,2.678976092080847,1.2389757235496297,1.7902755213477133,1.03595428303201,1.273511237748354,1.060394658810903,0.8390827534647434,1.1614271932127649,0.8288101200172513,1.1231666184713371,0.5431684124996798
Ncoa5,1.6672071198226068,2.090909001938483,2.4735034013779176,0.15485829722560435,4.493245322536343,0.6533751398708751,1.2612580796295219,0.7488338156905013,1.7482920572785807,1.8098468274119308,3.03212295197085,1.5919794457416432,0.6863972513219867,1.0877779743058773,2.2067593068297615,2.4124390598117835,2.202196683430297,0.8339072132577995,2.53353150227979,2.379456757248811,2.8301136153686866,1.400533484355929,4.600086286856193,0.765514464203494,1.3734786793026794,4.598622351292244,3.232343126368801,1.460709704958065
